Passage,species,value,replicate
1,1319,0.019673348181143288,r1
2,1319,0.011421628189550425,r1
3,1319,0.0063970081684873534,r1
4,1319,0.006549232158988256,r1
5,1319,0.010585511081706913,r1
1,1320,0.10634743875278399,r1
2,1320,0.15884973673552044,r1
3,1320,0.16228717645900992,r1
4,1320,0.06707317073170732,r1
5,1320,0.04157018414378652,r1
1,1321,0.021900519673348186,r1
2,1321,0.020008100445524507,r1
3,1321,0.016435390217498277,r1
4,1321,0.0251806684733514,r1
5,1321,0.03848274341162201,r1
1,1323,0.2862843355605049,r1
2,1323,0.23240178209801537,r1
3,1323,0.08414526129317981,r1
4,1323,0.04065040650406505,r1
5,1323,0.01885544161429044,r1
1,1324,0.016518188567186346,r1
2,1324,0.005994329688132848,r1
3,1324,0.00954630449758882,r1
4,1324,0.022018970189701895,r1
5,1324,0.020509427720807147,r1
1,1325,0.3079064587973275,r1
2,1325,0.32369380315917373,r1
3,1325,0.25686448184233834,r1
4,1325,0.3430442637759711,r1
5,1325,0.27290770757525634,r1
1,1327,0.05614328136599853,r1
2,1327,0.07047387606318348,r1
3,1327,0.114358822950497,r1
4,1327,0.06413730803974707,r1
5,1327,0.1346344690704598,r1
1,1329,0.0007423904974016334,r1
2,1329,0.0004860267314702309,r1
3,1329,0.0,r1
4,1329,0.0,r1
5,1329,0.0,r1
1,1330,0.0,r1
2,1330,0.0,r1
3,1330,0.0,r1
4,1330,0.0,r1
5,1330,0.0,r1
1,1331,0.0823125463994061,r1
2,1331,0.17545565006075337,r1
3,1331,0.34967030804054716,r1
4,1331,0.43010388437217706,r1
5,1331,0.4527511302238395,r1
1,1334,0.007423904974016334,r1
2,1334,0.0,r1
3,1334,0.0,r1
4,1334,0.0,r1
5,1334,0.0,r1
1,1337,0.0,r1
2,1337,0.0,r1
3,1337,0.0,r1
4,1337,0.0,r1
5,1337,0.0,r1
1,1338,0.0,r1
2,1338,0.0,r1
3,1338,0.0,r1
4,1338,0.0,r1
5,1338,0.0,r1
1,1336,0.0,r1
2,1336,0.0,r1
3,1336,0.0,r1
4,1336,0.0,r1
5,1336,0.0,r1
1,1538,0.09474758723088347,r1
2,1538,0.001215066828675577,r1
3,1538,0.0002952465308532625,r1
4,1538,0.0012420957542908762,r1
5,1538,0.009703385158231338,r1
1,1319,0.024909498362351318,r2
2,1319,0.01703830760434534,r2
3,1319,0.00970769064825801,r2
4,1319,0.010222834826556398,r2
5,1319,0.017470509183216364,r2
1,1320,0.11299775900706775,r2
2,1320,0.1428244711263579,r2
3,1320,0.13968288210549026,r2
4,1320,0.0774178727314496,r2
5,1320,0.05599522174107809,r2
1,1321,0.021117048784692293,r2
2,1321,0.01955403087478559,r2
3,1321,0.02178837234386798,r2
4,1321,0.025499655410062032,r2
5,1321,0.05017171868000597,r2
1,1323,0.3342527150491295,r2
2,1323,0.26426529445397373,r2
3,1323,0.10656887067198793,r2
4,1323,0.08419480817826787,r2
5,1323,0.0416604449753621,r2
1,1324,0.012670229270815377,r2
2,1324,0.00686106346483705,r2
3,1324,0.008197605436306763,r2
4,1324,0.04261428899609465,r2
5,1324,0.050470359862625054,r2
1,1325,0.23814859506981556,r2
2,1325,0.2433390508862207,r2
3,1325,0.20127278610721605,r2
4,1325,0.24431426602343215,r2
5,1325,0.12572793788263403,r2
1,1327,0.08403723495948974,r2
2,1327,0.12006861063464838,r2
3,1327,0.13601553230503724,r2
4,1327,0.08465426142889962,r2
5,1327,0.1587277885620427,r2
1,1329,0.0006895362868470953,r2
2,1329,0.0005717552887364208,r2
3,1329,0.0,r2
4,1329,0.0,r2
5,1329,0.0005972823652381663,r2
1,1330,0.0002585761075676608,r2
2,1330,0.0,r2
3,1330,0.0,r2
4,1330,0.0,r2
5,1330,0.0,r2
1,1331,0.061196345457679706,r2
2,1331,0.18376214979988564,r2
3,1331,0.3764426706935606,r2
4,1331,0.42993337927865843,r2
5,1331,0.48514260116470065,r2
1,1334,0.0034476814342354768,r2
2,1334,0.0005717552887364208,r2
3,1334,0.0,r2
4,1334,0.0,r2
5,1334,0.0,r2
1,1337,0.0,r2
2,1337,0.0,r2
3,1337,0.0,r2
4,1337,0.0,r2
5,1337,0.0,r2
1,1338,0.0,r2
2,1338,0.0,r2
3,1338,0.0,r2
4,1338,0.0,r2
5,1338,0.0,r2
1,1336,0.0,r2
2,1336,0.0,r2
3,1336,0.0,r2
4,1336,0.0,r2
5,1336,0.0,r2
1,1538,0.10627478021030858,r2
2,1538,0.0011435105774728416,r2
3,1538,0.000323589688275267,r2
4,1538,0.0011486331265793707,r2
5,1538,0.01403613558309691,r2
1,1319,0.019940508978737472,r3
2,1319,0.013428571428571425,r3
3,1319,0.008884501480750246,r3
4,1319,0.010650499754219236,r3
5,1319,0.02036746902150691,r3
1,1320,0.11336344607249092,r3
2,1320,0.16923809523809522,r3
3,1320,0.15609575518262586,r3
4,1320,0.08897263640832379,r3
5,1320,0.06850875943597778,r3
1,1321,0.017076126473504465,r3
2,1321,0.021047619047619044,r3
3,1321,0.014807502467917077,r3
4,1321,0.02785515320334262,r3
5,1321,0.04628970232160661,r3
1,1323,0.27343836069185856,r3
2,1323,0.20866666666666664,r3
3,1323,0.07453109575518263,r3
4,1323,0.04850073734229068,r3
5,1323,0.021222048141290414,r3
1,1324,0.013440564063016417,r3
2,1324,0.008857142857142855,r3
3,1324,0.00851431391905232,r3
4,1324,0.04129116827789612,r3
5,1324,0.04885343968095713,r3
1,1325,0.34835298005949106,r3
2,1325,0.3151428571428571,r3
3,1325,0.22433366238894373,r3
4,1325,0.32705226937571685,r3
5,1325,0.12035322603617718,r3
1,1327,0.061143549630935344,r3
2,1327,0.0558095238095238,r3
3,1327,0.14819842053307009,r3
4,1327,0.06521382926429625,r3
5,1327,0.15126050420168066,r3
1,1329,0.000550842789467886,r3
2,1329,0.0006666666666666665,r3
3,1329,0.00024679170779861795,r3
4,1329,0.00032770768474520726,r3
5,1329,0.001424298532972511,r3
1,1330,0.0,r3
2,1330,0.0,r3
3,1330,0.0,r3
4,1330,0.0,r3
5,1330,0.0,r3
1,1331,0.06389776357827477,r3
2,1331,0.20657142857142854,r3
3,1331,0.36438795656465944,r3
4,1331,0.38964443716205144,r3
5,1331,0.512177752456915,r3
1,1334,0.0013220226947229263,r3
2,1334,0.0,r3
3,1334,0.0,r3
4,1334,0.0,r3
5,1334,0.0,r3
1,1337,0.0,r3
2,1337,0.0,r3
3,1337,0.0,r3
4,1337,0.0,r3
5,1337,0.0,r3
1,1338,0.0,r3
2,1338,0.0,r3
3,1338,0.0,r3
4,1338,0.0,r3
5,1338,0.0,r3
1,1336,0.0,r3
2,1336,0.0,r3
3,1336,0.0,r3
4,1336,0.0,r3
5,1336,0.0,r3
1,1538,0.08747383496750029,r3
2,1538,0.0005714285714285714,r3
3,1538,0.0,r3
4,1538,0.0004915615271178109,r3
5,1538,0.009542800170915824,r3
1,1319,0.02517241379310345,r4
2,1319,0.015334483419589803,r4
3,1319,0.009822763185991885,r4
4,1319,0.013874315028564763,r4
5,1319,0.01739788199697428,r4
1,1320,0.10508620689655172,r4
2,1320,0.15832854130726473,r4
3,1320,0.16655989750160152,r4
4,1320,0.10073452256033577,r4
5,1320,0.057488653555219364,r4
1,1321,0.022241379310344825,r4
2,1321,0.01696377228292122,r4
3,1321,0.018150758061071963,r4
4,1321,0.0328786288912207,r4
5,1321,0.0416036308623298,r4
1,1323,0.3195689655172414,r4
2,1323,0.20691968564308993,r4
3,1323,0.08861840700405724,r4
4,1323,0.061909758656873023,r4
5,1323,0.02521432173474534,r4
1,1324,0.013362068965517242,r4
2,1324,0.009584052137243629,r4
3,1324,0.011103993166773437,r4
4,1324,0.02530022152267692,r4
5,1324,0.04336863338376198,r4
1,1325,0.320948275862069,r4
2,1325,0.31962813877707497,r4
3,1325,0.2519752295537049,r4
4,1325,0.2710738020286813,r4
5,1325,0.1786434694906707,r4
1,1327,0.047327586206896546,r4
2,1327,0.0509871573701361,r4
3,1327,0.09865470852017938,r4
4,1327,0.08196339046286578,r4
5,1327,0.11775088250126071,r4
1,1329,0.000603448275862069,r4
2,1329,0.00019168104274487258,r4
3,1329,0.00021353833013025838,r4
4,1329,0.0,r4
5,1329,0.0,r4
1,1330,0.0002586206896551724,r4
2,1330,0.0,r4
3,1330,0.0,r4
4,1330,0.0,r4
5,1330,0.0,r4
1,1331,0.05887931034482759,r4
2,1331,0.2206248801993483,r4
3,1331,0.35490070467648943,r4
4,1331,0.41203217908359563,r4
5,1331,0.5180282400403429,r4
1,1334,0.0022413793103448275,r4
2,1334,0.00028752156411730886,r4
3,1334,0.0,r4
4,1334,0.0,r4
5,1334,0.0,r4
1,1337,0.0,r4
2,1337,0.0,r4
3,1337,0.0,r4
4,1337,0.0,r4
5,1337,0.0,r4
1,1338,0.0,r4
2,1338,0.00028752156411730886,r4
3,1338,0.0,r4
4,1338,0.0,r4
5,1338,0.0,r4
1,1336,0.0,r4
2,1336,0.0,r4
3,1336,0.0,r4
4,1336,0.0,r4
5,1336,0.0,r4
1,1538,0.0843103448275862,r4
2,1538,0.0008625646923519266,r4
3,1538,0.0,r4
4,1538,0.00023318176518596242,r4
5,1538,0.0005042864346949068,r4
